Best model saved with acc 84.65% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [50/100], Loss: 0.0090, Train Acc: 99.98%
Test Accuracy: 84.64% | Avg Loss: 0.9263
Validation Acc: 84.64% | Val Loss: 0.9263
Epoch [51/100], Loss: 0.0091, Train Acc: 99.98%
Test Accuracy: 84.64% | Avg Loss: 0.9273
Validation Acc: 84.64% | Val Loss: 0.9273
Epoch [52/100], Loss: 0.0095, Train Acc: 99.98%
Test Accuracy: 84.67% | Avg Loss: 0.9262
Validation Acc: 84.67% | Val Loss: 0.9262
Best model saved with acc 84.67% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [53/100], Loss: 0.0102, Train Acc: 99.98%
Test Accuracy: 84.69% | Avg Loss: 0.9295
Validation Acc: 84.69% | Val Loss: 0.9295
Best model saved with acc 84.69% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [54/100], Loss: 0.0106, Train Acc: 99.97%
Test Accuracy: 84.79% | Avg Loss: 0.9373
Validation Acc: 84.79% | Val Loss: 0.9373
Best model saved with acc 84.79% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [55/100], Loss: 0.0134, Train Acc: 99.97%
Test Accuracy: 84.73% | Avg Loss: 0.9435
Validation Acc: 84.73% | Val Loss: 0.9435
