Epoch [78/100], Loss: 0.0299, Train Acc: 99.07%
Test Accuracy: 66.12% | Avg Loss: 2.0434
Epoch [79/100], Loss: 0.0338, Train Acc: 98.92%
Test Accuracy: 66.24% | Avg Loss: 2.0367
Epoch [80/100], Loss: 0.0280, Train Acc: 99.08%
Test Accuracy: 66.37% | Avg Loss: 2.0595
Epoch [81/100], Loss: 0.0311, Train Acc: 99.06%
Test Accuracy: 65.98% | Avg Loss: 2.0329
Epoch [82/100], Loss: 0.0323, Train Acc: 98.96%
Test Accuracy: 66.80% | Avg Loss: 2.0682
Epoch [83/100], Loss: 0.0250, Train Acc: 99.27%
Test Accuracy: 67.07% | Avg Loss: 2.0299
Epoch [84/100], Loss: 0.0309, Train Acc: 99.05%
Test Accuracy: 66.35% | Avg Loss: 2.0581
Epoch [85/100], Loss: 0.0291, Train Acc: 99.06%
Test Accuracy: 67.30% | Avg Loss: 2.0519
Epoch [86/100], Loss: 0.0279, Train Acc: 99.09%
Test Accuracy: 66.62% | Avg Loss: 2.0725
Epoch [87/100], Loss: 0.0321, Train Acc: 98.99%
Test Accuracy: 66.86% | Avg Loss: 2.0817
Epoch [88/100], Loss: 0.0253, Train Acc: 99.19%
Test Accuracy: 65.45% | Avg Loss: 2.2332
Epoch [89/100], Loss: 0.0295, Train Acc: 99.08%
Test Accuracy: 65.74% | Avg Loss: 2.1090
Epoch [90/100], Loss: 0.0257, Train Acc: 99.16%
Test Accuracy: 66.89% | Avg Loss: 2.0739
Epoch [91/100], Loss: 0.0254, Train Acc: 99.16%
Test Accuracy: 66.53% | Avg Loss: 2.0716
Epoch [92/100], Loss: 0.0262, Train Acc: 99.21%
Test Accuracy: 67.01% | Avg Loss: 2.0499
Epoch [93/100], Loss: 0.0276, Train Acc: 99.12%
Test Accuracy: 67.19% | Avg Loss: 2.0143
Epoch [94/100], Loss: 0.0238, Train Acc: 99.27%
Test Accuracy: 66.66% | Avg Loss: 2.0666
Epoch [95/100], Loss: 0.0279, Train Acc: 99.10%
Test Accuracy: 66.70% | Avg Loss: 2.0836
Epoch [96/100], Loss: 0.0236, Train Acc: 99.25%
Test Accuracy: 66.26% | Avg Loss: 2.1225
Epoch [97/100], Loss: 0.0241, Train Acc: 99.31%
Test Accuracy: 66.30% | Avg Loss: 2.0880
Epoch [98/100], Loss: 0.0242, Train Acc: 99.22%
Test Accuracy: 66.85% | Avg Loss: 2.0633
Epoch [99/100], Loss: 0.0234, Train Acc: 99.26%
Test Accuracy: 67.42% | Avg Loss: 2.0348
Epoch [100/100], Loss: 0.0231, Train Acc: 99.25%
Test Accuracy: 67.32% | Avg Loss: 2.0265
